,Date,Origin,Destination,Price,Departure Time,Arrival Time,Flight duration,URL
0,2020-07-20,SIN,HKG,$140,6:00,9:45,3h 45m,https://www.kayak.com/book/flight?code=GaGiJ5LAUb.3trpTcyJlBVFj024N3_sTg.13979.de7d60fe44c532073dfb5f367c94751c&h=4aeb38dfd674&sub=E-1c51e2eae46
1,2020-07-21,SIN,HKG,$155,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GaHiH84Rpn.6Ky586fB8Xouqge7lldQQw.15435.7b1a14581cb4af0871800a9c36d901d4&h=621b6f6a5e21&sub=E-1f08093e2f1
2,2020-07-22,SIN,HKG,$140,6:00,9:45,3h 45m,https://www.kayak.com/book/flight?code=GaGiM-Kn4M.3trpTcyJlBVFj024N3_sTg.13979.7245c70e63c5f7d88c96170da81f8d34&h=1eff34bafbd9&sub=E-1c51e2eae46
3,2020-07-23,SIN,HKG,$173,6:00,10:05,4h 05m,https://www.kayak.com/book/flight?code=GaFCL9mtST.-COZ-Slz34a7ImCnqdurig.17298.68b9f03d020f189a8d363c461ed5bed1&h=fee61337598a&sub=E-1e920e1ecb2
4,2020-07-24,SIN,HKG,$140,6:00,9:45,3h 45m,https://www.kayak.com/book/flight?code=GaGCMSDO_a.3trpTcyJlBVFj024N3_sTg.13979.d418dcbd24490bbb4405c0632e75e8da&h=d6a0dad674ca&sub=E-1c51e2eae46
5,2020-07-25,SIN,HKG,$173,6:00,10:05,4h 05m,https://www.kayak.com/book/flight?code=GaGCFKUlXE.-COZ-Slz34a7ImCnqdurig.17298.c3cef464383724e63fc0c43938145c4a&h=471e31a63bfc&sub=E-1e920e1ecb2
6,2020-07-26,SIN,HKG,$140,6:00,9:45,3h 45m,https://www.kayak.com/book/flight?code=GaFCLXnU6p.3trpTcyJlBVFj024N3_sTg.13979.44cb9e2bdb6da6920d2f34f8dd5d8740&h=956c3f8b55e2&sub=E-1c51e2eae46
7,2020-07-27,SIN,HKG,$140,6:00,9:45,3h 45m,https://www.kayak.com/book/flight?code=GaHCEyqwaX.3trpTcyJlBVFj024N3_sTg.13979.afcd66faca0498ab507d15393750275f&h=2e2812bffc10&sub=E-1c51e2eae46
8,2020-07-28,SIN,HKG,$183,6:00,10:05,4h 05m,https://www.kayak.com/book/flight?code=GaHCLxLeJ8.6We7wBYoN-cNUvH8T-y68A.18235.fd8673e5792f7c0117be9f04ff2723a3&h=885914481b90&sub=E-139119fa0bd
9,2020-07-29,SIN,HKG,$140,6:00,9:45,3h 45m,https://www.kayak.com/book/flight?code=GaGCF77mqT.3trpTcyJlBVFj024N3_sTg.13979.303536a7ffe4e14866f8d7b1c054fa18&h=49e2810a48ae&sub=E-1c51e2eae46
10,2020-07-30,SIN,HKG,$196,7:25,11:20,3h 55m,https://www.kayak.com/book/flight?code=GaHCIA6riq.-COZ-Slz34a7ImCnqdurig.19579.c0819d18f66707bd1ed45ccc7ea59f76&h=fb3f5563d84a&sub=E-1e920e1ecb2
11,2020-07-31,SIN,HKG,$140,6:00,9:45,3h 45m,https://www.kayak.com/book/flight?code=GaFCTCLQPj.3trpTcyJlBVFj024N3_sTg.13979.ab747bb68a2c61746ffea0b039f8d47b&h=20848a115c04&sub=E-1c51e2eae46
12,2020-08-01,SIN,HKG,$113,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GaGiNGpHST.6We7wBYoN-cNUvH8T-y68A.11206.ddb0235fae5209b2c5b5d6593f647e75&h=51bc90769dd4&sub=E-139119fa0bd
13,2020-08-02,SIN,HKG,$140,6:00,9:45,3h 45m,https://www.kayak.com/book/flight?code=GaGCKI40PH.3trpTcyJlBVFj024N3_sTg.13979.3810eb5c5cde510c4c48b3fa2ae9358b&h=db181298e2c1&sub=E-1c51e2eae46
