,Date,Origin,Destination,Price,Departure Time,Arrival Time,Flight duration,URL
0,2020-06-23,SIN,HKG,$110,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GNFCO-RPvV.6We7wBYoN-cNUvH8T-y68A.10966.2e6a00f99cef9b9f73ad6d5bcf136050&h=a83ff010fa4e&sub=E-139119fa0bd
1,2020-06-24,SIN,HKG,$176,8:10,12:15,4h 05m,https://www.kayak.com/book/flight?code=GNEiOBEU0I.-COZ-Slz34a7ImCnqdurig.17513.db03207f4f6d64b7dd347c54b6bde679&h=8d4dc8dce34b&sub=E-1e920e1ecb2
2,2020-06-25,SIN,HKG,$176,8:10,12:15,4h 05m,https://www.kayak.com/book/flight?code=GNHiGoOC_e.-COZ-Slz34a7ImCnqdurig.17513.b536b9c98d4341cc504d57e286845840&h=951025ce0f72&sub=E-1e920e1ecb2
3,2020-06-26,SIN,HKG,$110,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GNFCLUFOzV.6We7wBYoN-cNUvH8T-y68A.10966.b77fe2c6d951f0762f9ae7e700bf584d&h=92ec1e3c6f4d&sub=E-139119fa0bd
4,2020-06-27,SIN,HKG,$203,8:10,12:15,4h 05m,https://www.kayak.com/book/flight?code=GNECNpsB_z.-COZ-Slz34a7ImCnqdurig.20218.ed516a2d7cdf76dc812ccb805e8ac49c&h=3a0a3dde8e38&sub=E-1e920e1ecb2
5,2020-06-28,SIN,HKG,$110,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GNGiIKMo85.6We7wBYoN-cNUvH8T-y68A.10966.9223d1ca1a9742dd019c1e80427bfcc3&h=5cf19409f93b&sub=E-139119fa0bd
6,2020-06-29,SIN,HKG,$176,8:10,12:15,4h 05m,https://www.kayak.com/book/flight?code=GNFiHfEgn_.-COZ-Slz34a7ImCnqdurig.17513.d1826eff78a9014355538aa43136f5b1&h=5531a4d26c1c&sub=E-1e920e1ecb2
7,2020-06-30,SIN,HKG,$110,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GNGCNrONLK.sJcqRKrFJFQ.10967.86182c9ef6efb58a53842e6e6b9b085d&h=7bd1968fdb98&sub=E013fedbb7aa
8,2020-07-01,SIN,HKG,$96,6:00,10:05,4h 05m,https://www.kayak.com/book/flight?code=GNEiTRP8yL.6We7wBYoN-cNUvH8T-y68A.9562.f484c40c89c904903772a7a8c9326449&h=4d3996e4c35c&sub=E-139119fa0bd
9,2020-07-02,SIN,HKG,$96,4:55,9:00,4h 05m,https://www.kayak.com/book/flight?code=GNEiR-1iIx.6We7wBYoN-cNUvH8T-y68A.9562.9083a79035032cbe9750be380986b337&h=883c048a5504&sub=E-139119fa0bd
10,2020-07-03,SIN,HKG,$94,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GNFCTsB45l.BximiDHCFxuVG46jPA6m1w.9373.61b12e0b5f06eeb6c02259bd414e5e58&h=f53adcb90dc8&sub=E-1789cae2134
11,2020-07-04,SIN,HKG,$88,6:00,10:05,4h 05m,https://www.kayak.com/book/flight?code=GNECMPOghS.6We7wBYoN-cNUvH8T-y68A.8790.1b6fe06c74e70d6fac052a347e9b9d8b&h=6318ff310076&sub=E-139119fa0bd
12,2020-07-05,SIN,HKG,$88,6:00,10:05,4h 05m,https://www.kayak.com/book/flight?code=GNGiHqm02H.6We7wBYoN-cNUvH8T-y68A.8790.fa57094ceab89d55e49fae5ebc561d44&h=b4536aeb43eb&sub=E-139119fa0bd
13,2020-07-06,SIN,HKG,$88,4:55,9:00,4h 05m,https://www.kayak.com/book/flight?code=GNEiKxcQ-9.6We7wBYoN-cNUvH8T-y68A.8790.a281ae9dd4afe26f93d0eaf38f1baf63&h=ef2a2ed92c0e&sub=E-139119fa0bd
