,Date,Origin,Destination,Price,Departure Time,Arrival Time,Flight duration,URL
0,2020-08-19,SIN,TYO,$345,2:15,12:10,20h 55m,https://www.kayak.com/book/flight?code=GBGiHNjdnF.6We7wBYoN-cNUvH8T-y68A.34424.3da638c5e9fddd950fac1df8ce1fbb9f&h=cc6b9cdbbb0b&sub=E-139119fa0bd
1,2020-08-20,SIN,TYO,$255,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GBFiEySNGl.6We7wBYoN-cNUvH8T-y68A.25427.295e7d83a54a4e0bd28c5f9150ec0d25&h=e5b9afe0e44b&sub=E-139119fa0bd
2,2020-08-21,SIN,TYO,$237,2:00,12:45,9h 45m,https://www.kayak.com/book/flight?code=GBGCK9xX1b.6We7wBYoN-cNUvH8T-y68A.23659.b44d785c5f5a385ebfc106d1aa7c497e&h=9a44f2e3a7a0&sub=E-139119fa0bd
3,2020-08-22,SIN,TYO,$255,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GBGiDt2bEh.6We7wBYoN-cNUvH8T-y68A.25427.e6bcf3c1fe3d5deba24a1664be65ea4d&h=2c85f5c0a0a0&sub=E-139119fa0bd
4,2020-08-23,SIN,TYO,$251,2:00,2:25,11h 25m,https://www.kayak.com/book/flight?code=GBGCCofP2x.6We7wBYoN-cNUvH8T-y68A.25093.1de1c5313ecb4d49b57f5c473116f5ac&h=62bf9c257bf4&sub=E-139119fa0bd
5,2020-08-24,SIN,TYO,$246,2:00,2:25,11h 25m,https://www.kayak.com/book/flight?code=GBEiLhOpPU.6We7wBYoN-cNUvH8T-y68A.24506.98a5fe9537c65c86a6c8ca61f32876b5&h=c687e7713816&sub=E-139119fa0bd
6,2020-08-25,SIN,TYO,$237,2:00,2:25,11h 25m,https://www.kayak.com/book/flight?code=GBFCKyeU2q.6We7wBYoN-cNUvH8T-y68A.23659.553ae6aad758442a276d6dba40685794&h=aac0a9f9b59a&sub=E-139119fa0bd
7,2020-08-26,SIN,TYO,$359,2:15,12:10,20h 55m,https://www.kayak.com/book/flight?code=GBFCRWSxTb.dBmQ8fgUOlgKCwPwRb8L4Q.35863.ddbe629891b62789bbc1957240ac3bd8&h=95dd8cc5f75d&sub=E-14762c8f799
8,2020-08-27,SIN,TYO,$237,2:00,2:25,11h 25m,https://www.kayak.com/book/flight?code=GBGCMxoTYi.6We7wBYoN-cNUvH8T-y68A.23659.93979508183f43084e0c7a458afaaee9&h=f1903206fbda&sub=E-139119fa0bd
9,2020-08-28,SIN,TYO,$246,2:00,2:25,11h 25m,https://www.kayak.com/book/flight?code=GBFiGa4CXH.6We7wBYoN-cNUvH8T-y68A.24506.be8b69e198a25dcc9657239d4936c5c4&h=d605ff4086da&sub=E-139119fa0bd
10,2020-08-29,SIN,TYO,$268,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GBHCMK_xh1.qrlKXTDbgHHBDARZyLA7ng.26782.29abda72195ead4e6b560ca579b68af5&h=a31b8eeb88a1&sub=E-182139963ef
11,2020-08-30,SIN,TYO,$248,2:00,10:05,19h 05m,https://www.kayak.com/book/flight?code=GBHiOK_w6H.6fzR64IlVNN068dNKXt9eA.24786.c3d4403962d5a18588672497341c9cac&h=aa70fafcb4bd&sub=E-144ad83168d
12,2020-08-31,SIN,TYO,$359,2:15,12:10,20h 55m,https://www.kayak.com/book/flight?code=GBFiQE7JhJ.dBmQ8fgUOlgKCwPwRb8L4Q.35863.28c6ea390d3d21025fb4f871c27962f4&h=f41d7c16b521&sub=E-14762c8f799
13,2020-09-01,SIN,TYO,$1039,11:25,7:25,43h 00m,https://www.kayak.com/book/flight?code=GBGiHGlAIh.wZSLq2d_dUItjpRa9I2r8w.103825.e231c9dcc16d60047e04f3ea9c105051&h=6679745e4909&sub=E-157484f8a54
