,Date,Origin,Destination,Price,Departure Time,Arrival Time,Flight duration,URL
0,2020-08-10,SIN,TYO,$555,1:10,2:00,11h 50m,https://www.kayak.com/book/flight?code=GEGCEp6BrF.05bdAFnsgyzBDARZyLA7ng.55498.3a0aafbf9be9773fd7810473d44b3644&h=ac1f334cc064&sub=E-1eb12285bcf
1,2020-08-11,SIN,TYO,$567,10:30,12:15,12h 45m,https://www.kayak.com/book/flight?code=GEEiO6hsu0.dBmQ8fgUOlgKCwPwRb8L4Q.56639.a105e97f0923b714ba59c58c4a84d207&h=f0d4a6466ef3&sub=E-14762c8f799
2,2020-08-12,SIN,TYO,$567,12:30,1:40,12h 10m,https://www.kayak.com/book/flight?code=GEFCQJcnXx.dBmQ8fgUOlgKCwPwRb8L4Q.56639.70b6e59155ace2ed720ae5a8a37d5560&h=e58a025252de&sub=E-14762c8f799
3,2020-08-13,SIN,TYO,$567,10:30,12:15,12h 45m,https://www.kayak.com/book/flight?code=GEECKpNkDg.dBmQ8fgUOlgKCwPwRb8L4Q.56639.f5dcd5a0c166e009ff6162be94282aad&h=863bc8d3a192&sub=E-14762c8f799
4,2020-08-14,SIN,TYO,$567,12:30,12:10,10h 40m,https://www.kayak.com/book/flight?code=GEEiPhgpaZ.dBmQ8fgUOlgKCwPwRb8L4Q.56639.9452d861b72fc1c8538dcd1a767bfc2d&h=0063b9e5794c&sub=E-14762c8f799
5,2020-08-15,SIN,TYO,$567,10:30,12:15,12h 45m,https://www.kayak.com/book/flight?code=GFGiKqeESf.dBmQ8fgUOlgKCwPwRb8L4Q.56639.4f7480da81a74389ef305951b60d5d57&h=2d93a23d9833&sub=E-14762c8f799
6,2020-08-16,SIN,TYO,$567,10:30,12:15,12h 45m,https://www.kayak.com/book/flight?code=GFGCM7EFoC.dBmQ8fgUOlgKCwPwRb8L4Q.56639.98a5ca8de3760c870b44d33ffe35e7ef&h=969f5b27d718&sub=E-14762c8f799
7,2020-08-17,SIN,TYO,$567,10:30,12:15,12h 45m,https://www.kayak.com/book/flight?code=GFGCMkkJkZ.dBmQ8fgUOlgKCwPwRb8L4Q.56639.afac04f81dadafc6b5664777a23ca73f&h=b2b622eb0bf4&sub=E-14762c8f799
8,2020-08-18,SIN,TYO,$567,12:30,12:10,10h 40m,https://www.kayak.com/book/flight?code=GFEiSnriAp.dBmQ8fgUOlgKCwPwRb8L4Q.56639.a7968efeee249d7dcbd68f5d1a1b588a&h=f325ab7352db&sub=E-14762c8f799
9,2020-08-19,SIN,TYO,$761,7:45,3:05,18h 20m,https://www.kayak.com/book/flight?code=GFEiB3BUkO.dBmQ8fgUOlgKCwPwRb8L4Q.76036.68a8c914a09b6817ae3cbb0be544899c&h=8f55ef7df1d5&sub=E-14762c8f799
10,2020-08-20,SIN,TYO,$567,10:30,12:15,12h 45m,https://www.kayak.com/book/flight?code=GFFiEvaegc.dBmQ8fgUOlgKCwPwRb8L4Q.56639.eb50c540c0ed08e4aec0cd86433631b7&h=3f53b0677aea&sub=E-14762c8f799
11,2020-08-21,SIN,TYO,$567,12:30,12:10,10h 40m,https://www.kayak.com/book/flight?code=GFGCBSYjNo.dBmQ8fgUOlgKCwPwRb8L4Q.56639.e15c1aafc083f2d5af0d834dd50f6a8e&h=83b4f85b38d1&sub=E-14762c8f799
12,2020-08-22,SIN,TYO,$268,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GFGiCq5r91.G9QQN_lF2QPBDARZyLA7ng.26782.e6bcf3c1fe3d5deba24a1664be65ea4d&h=2c36d7863b0c&sub=E-1f82df2596e
13,2020-08-23,SIN,TYO,$268,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GFGiI9HHkI.qrlKXTDbgHHBDARZyLA7ng.26778.1d1adc750eaa347e167f4909979d0e64&h=7f7333e7c793&sub=E-182139963ef
