,Date,Origin,Destination,Price,Departure Time,Arrival Time,Flight duration,URL
0,2020-07-17,SIN,KUL,$66,5:55,7:00,1h 05m,https://www.kayak.com/book/flight?code=GJFiFuYVC-.-COZ-Slz34a7ImCnqdurig.6569.0249551ca42b5a656896d9a75c63c321&h=bd2c480b3953&sub=E-1e920e1ecb2
1,2020-07-18,SIN,KUL,$45,1:30,2:40,1h 10m,https://www.kayak.com/book/flight?code=GJFiGoSfii.6We7wBYoN-cNUvH8T-y68A.4441.d5948f1603d5379511d131ed81df954c&h=9c525cf44058&sub=E-139119fa0bd
2,2020-07-19,SIN,KUL,$45,9:20,10:25,1h 05m,https://www.kayak.com/book/flight?code=GJEiJFGfU6.6We7wBYoN-cNUvH8T-y68A.4441.eac4b8eb2c0540270b6e71a678700f75&h=1b618549864b&sub=E-139119fa0bd
3,2020-07-20,SIN,KUL,$45,8:45,9:45,1h 00m,https://www.kayak.com/book/flight?code=GJGCOpv16c.6We7wBYoN-cNUvH8T-y68A.4413.59217c11c3346e2c611c9dbe2cef136e&h=a646db06b80f&sub=E-139119fa0bd
4,2020-07-21,SIN,KUL,$45,1:30,2:40,1h 10m,https://www.kayak.com/book/flight?code=GJECPqWmb3.6We7wBYoN-cNUvH8T-y68A.4441.5a620427daf658ca51c4329cfcb2305c&h=f9dd225ab479&sub=E-139119fa0bd
5,2020-07-22,SIN,KUL,$45,9:10,10:25,1h 15m,https://www.kayak.com/book/flight?code=GJFiL7KJrW.6We7wBYoN-cNUvH8T-y68A.4441.39fc64481131b02587fd5b7cd62afb7e&h=449d337019d8&sub=E-139119fa0bd
6,2020-07-23,SIN,KUL,$38,1:30,2:40,1h 10m,https://www.kayak.com/book/flight?code=GJHiMMC5BW.6We7wBYoN-cNUvH8T-y68A.3725.880aabea1c8c5bcbbfb2247f4250b397&h=d94ca0482d0a&sub=E-139119fa0bd
7,2020-07-24,SIN,KUL,$38,9:20,10:25,1h 05m,https://www.kayak.com/book/flight?code=GJEiQLiYDA.6We7wBYoN-cNUvH8T-y68A.3725.1f4b219d30c487881117ab89f8bf93c6&h=8e86a6f62d12&sub=E-139119fa0bd
8,2020-07-25,SIN,KUL,$47,8:45,9:45,1h 00m,https://www.kayak.com/book/flight?code=GJGCHpH1eZ.6We7wBYoN-cNUvH8T-y68A.4627.a447f82f9ff55be4b10fcb4a3424a9a5&h=cb61cfb4a458&sub=E-139119fa0bd
9,2020-07-26,SIN,KUL,$38,9:20,10:25,1h 05m,https://www.kayak.com/book/flight?code=GJFiTb5Hux.6We7wBYoN-cNUvH8T-y68A.3725.c2b5bf3b6d5e8fc0d2a8c57758ea505d&h=1764aa3159b6&sub=E-139119fa0bd
10,2020-07-27,SIN,KUL,$66,7:35,8:40,1h 05m,https://www.kayak.com/book/flight?code=GJGiKrDwRn.-COZ-Slz34a7ImCnqdurig.6569.659189103b49aa5fc0fa030ed714f1f7&h=eb8874931fb6&sub=E-1e920e1ecb2
11,2020-07-28,SIN,KUL,$38,1:30,2:40,1h 10m,https://www.kayak.com/book/flight?code=GJHCIztziY.6We7wBYoN-cNUvH8T-y68A.3730.aff9f35897fd71acda2936b3599fa045&h=6ba985a15ea8&sub=E-139119fa0bd
12,2020-07-29,SIN,KUL,$36,8:45,9:45,1h 00m,https://www.kayak.com/book/flight?code=GJEiQcNup1.6We7wBYoN-cNUvH8T-y68A.3577.2a03122c60a9cf08d30210b224e773d6&h=c47d3c331dfc&sub=E-139119fa0bd
13,2020-07-30,SIN,KUL,$45,9:20,10:25,1h 05m,https://www.kayak.com/book/flight?code=GJECLE0zaI.6We7wBYoN-cNUvH8T-y68A.4441.32c258ee8ef6694ab13eaaabac781d2e&h=6daa31e7230a&sub=E-139119fa0bd
