,Date,Origin,Destination,Price,Departure Time,Arrival Time,Flight duration,URL
0,2020-07-08,SIN,LON,$314,11:55,9:05,16h 10m,https://www.kayak.com/book/flight?code=GVFiFcaXWL.-COZ-Slz34a7ImCnqdurig.31327.d1505495543c07123340e32ffe29a7a7&h=a9cd9c6befcd&sub=E-1e920e1ecb2
1,2020-07-09,SIN,LON,$400,3:00,12:25,16h 25m,https://www.kayak.com/book/flight?code=GVHiK3IcNu.-COZ-Slz34a7ImCnqdurig.39941.4de39c444bb54510414a3750e20dde61&h=960c6e20b409&sub=E-1e920e1ecb2
2,2020-07-10,SIN,LON,$314,11:55,9:05,16h 10m,https://www.kayak.com/book/flight?code=GVHCH4dL6N.-COZ-Slz34a7ImCnqdurig.31327.8bfa2564bf48b60e7e6dcb543ea1ad36&h=0783d391882a&sub=E-1e920e1ecb2
3,2020-07-11,SIN,LON,$386,4:30,8:20,34h 50m,https://www.kayak.com/book/flight?code=GVFCOAy2tZ.6We7wBYoN-cNUvH8T-y68A.38546.024fbbfe01de6ffad05deb73753cedd4&h=358266474224&sub=E-139119fa0bd
4,2020-07-12,SIN,LON,$314,11:55,9:05,16h 10m,https://www.kayak.com/book/flight?code=GVEiQ4StmG.-COZ-Slz34a7ImCnqdurig.31327.d3f5ff6940709405fc209135d3551218&h=559848f78071&sub=E-1e920e1ecb2
5,2020-07-13,SIN,LON,$392,9:20,8:20,30h 00m,https://www.kayak.com/book/flight?code=GVHCOSC4xe.6We7wBYoN-cNUvH8T-y68A.39113.60062b98b976eb6bbec2d1ed2fd17931&h=3b403fd38555&sub=E-139119fa0bd
6,2020-07-14,SIN,LON,$314,11:55,9:05,16h 10m,https://www.kayak.com/book/flight?code=GVFiFCCki4.-COZ-Slz34a7ImCnqdurig.31327.dcc87684504de74967d6232fcf133880&h=4ab165ce65fd&sub=E-1e920e1ecb2
7,2020-07-15,SIN,LON,$314,11:55,9:05,16h 10m,https://www.kayak.com/book/flight?code=GVHiJ-k_zI.-COZ-Slz34a7ImCnqdurig.31327.76066e665cc0d5aed918d29f67340ce3&h=39004bef8675&sub=E-1e920e1ecb2
8,2020-07-16,SIN,LON,$400,6:20,6:20,19h 00m,https://www.kayak.com/book/flight?code=GVGiIEywhC.-COZ-Slz34a7ImCnqdurig.39941.8b76438809d311d47254993a492badcc&h=d045da7ab213&sub=E-1e920e1ecb2
9,2020-07-17,SIN,LON,$314,11:55,9:05,16h 10m,https://www.kayak.com/book/flight?code=GVFiEq1VQx.-COZ-Slz34a7ImCnqdurig.31327.3e2580e37e03f888bf2001e61d7c2cca&h=024d93f9e492&sub=E-1e920e1ecb2
10,2020-07-18,SIN,LON,$392,4:30,8:20,34h 50m,https://www.kayak.com/book/flight?code=GVGCGAzSpR.6We7wBYoN-cNUvH8T-y68A.39164.7d1c8a4fb2cc4a68ba95b29a6d7ad40f&h=d9e70fbf12de&sub=E-139119fa0bd
11,2020-07-19,SIN,LON,$314,11:55,9:05,16h 10m,https://www.kayak.com/book/flight?code=GVHCNHOo6T.-COZ-Slz34a7ImCnqdurig.31327.ccec76775423ea1c4f2a2bc6394a82a4&h=9cf9286e38b7&sub=E-1e920e1ecb2
12,2020-07-20,SIN,LON,$392,9:20,8:20,30h 00m,https://www.kayak.com/book/flight?code=GVFCKGQpsP.6We7wBYoN-cNUvH8T-y68A.39108.61d7b3acb9eb827961c681520b0aaac9&h=f48119cb2a90&sub=E-139119fa0bd
13,2020-07-21,SIN,LON,$531,11:30,8:10,15h 40m,https://www.kayak.com/book/flight?code=GVHiG-wzK8.k__A2aLI5Kc.53056.d0ea0064d26918c80b1569d3c38c40f2&h=b69beeb54855&sub=E-1056e4f4f1c
